	WT_R1	WT_R2	mutant_R1	mutant_R2
WBGene00017210	66.4740671948076	61.8812879551636	54.3737589756928	70.185528665887
WBGene00017211	5.17020522626281	2.23667305862037	1.39419894809469	5.10440208479178
WBGene00017207	0	0	0	0
WBGene00219315	144.02714558875	175.951613944802	97.593926366628	95.7075390898459
WBGene00200144	0	0.74555768620679	0	0
WBGene00017212	0	0.74555768620679	0	0
WBGene00017213	1.47720149321795	1.49111537241358	4.18259684428406	0
WBGene00017214	14.7720149321795	14.9111537241358	6.97099474047343	1.27610052119794
WBGene00023266	2.21580223982692	1.49111537241358	0	0
WBGene00020535	0	0.74555768620679	0	0
WBGene00020536	0	0	0	0
WBGene00020534	0.738600746608973	0	0	0
WBGene00004149	5.90880597287179	1.49111537241358	11.1535915847575	15.3132062543753
WBGene00020537	155.106156787884	150.602652613772	168.698072719457	146.751559937764
WBGene00020533	1.47720149321795	0.74555768620679	0	1.27610052119794
WBGene00020532	0.738600746608973	0.74555768620679	0	0
WBGene00020075	0.738600746608973	0	1.39419894809469	0
WBGene00020076	0	0.74555768620679	0	0
WBGene00020077	0	0.74555768620679	0	0
WBGene00020078	2.21580223982692	3.72778843103395	4.18259684428406	0
WBGene00005408	0	0	1.39419894809469	0
WBGene00020080	0	0.74555768620679	1.39419894809469	1.27610052119794
WBGene00201615	0	0	0	0
WBGene00197682	0	0	0	0
WBGene00020081	18.4650186652243	8.94669223448148	6.97099474047343	5.10440208479178
WBGene00020073	8.12460821269871	7.4555768620679	16.7303873771362	10.2088041695836
WBGene00016548	0	1.49111537241358	0	0
WBGene00016553	88.6320895930768	64.117961013784	156.150282186605	149.30376098016
WBGene00016547	0.738600746608973	2.98223074482716	0	1.27610052119794
WBGene00016546	0.738600746608973	2.23667305862037	1.39419894809469	0
WBGene00016549	11.0790111991346	11.1833652931019	37.6433715985565	24.2459099027609
WBGene00016545	2.21580223982692	2.23667305862037	0	0
WBGene00016550	16.2492164253974	18.6389421551698	131.0547011209	96.9836396110438
WBGene00016551	237.09083966148	242.306248017207	85.0461358337758	80.3943328354705
WBGene00016544	0	0	0	0
WBGene00044360	144.02714558875	134.200383517222	97.593926366628	91.879237526252
WBGene00016336	2.95440298643589	0.74555768620679	2.78839789618937	2.55220104239589
WBGene00219656	0.738600746608973	0.74555768620679	0	1.27610052119794
WBGene00016337	2.21580223982692	1.49111537241358	5.57679579237874	1.27610052119794
WBGene00219322	0.738600746608973	0.74555768620679	2.78839789618937	2.55220104239589
WBGene00016338	0	0	1.39419894809469	0
WBGene00016339	1.47720149321795	0	1.39419894809469	0
WBGene00016335	0	1.49111537241358	1.39419894809469	1.27610052119794
WBGene00016340	40.6230410634935	44.7334611724074	8.36519368856812	15.3132062543753
WBGene00016341	14.7720149321795	16.4022690965494	11.1535915847575	10.2088041695836
WBGene00016342	105.619906765083	93.1947107758488	142.208292705658	154.408163064951
WBGene00016334	0	0	0	0
WBGene00021985	99.7111007922114	92.449153089642	100.382324262817	117.401247950211
WBGene00200035	0	0.74555768620679	0	0
WBGene00021984	9.60180970591665	12.6744806655154	2.78839789618937	0
WBGene00021986	60.5652612219358	65.6090763861975	30.6723768580831	43.3874177207301
WBGene00018783	2.21580223982692	0.74555768620679	6.97099474047343	3.82830156359383
WBGene00198765	0	0	0	0
WBGene00018784	12.5562126923525	16.4022690965494	18.1245863252309	22.969809381563
WBGene00018785	66.4740671948076	73.0646532482654	36.2491726504618	47.215719284324
WBGene00197814	0	0	0	0
WBGene00196771	0	0	0	0
WBGene00219965	0	0	0	0
WBGene00018782	120.391921697263	115.561441362052	90.6229316261546	104.640242738231
WBGene00018781	678.774086133647	697.841994289556	691.522678254964	778.421317930746
WBGene00195742	0	0	0	0
WBGene00019586	6.64740671948076	11.1833652931019	1.39419894809469	2.55220104239589
WBGene00019587	2.21580223982692	3.72778843103395	0	2.55220104239589
WBGene00019588	4.43160447965384	2.23667305862037	69.7099474047343	38.2830156359383
WBGene00019589	68.6898694346345	47.7156919172346	51.5853610795034	42.1113171995322
WBGene00044361	0	0	0	0
WBGene00019592	6.64740671948076	8.20113454827469	6.97099474047343	3.82830156359383
WBGene00219267	0	0	0	0
WBGene00019593	2.95440298643589	5.96446148965432	2.78839789618937	3.82830156359383
WBGene00235164	5.17020522626281	5.21890380344753	8.36519368856812	7.65660312718767
WBGene00019590	0	1.49111537241358	0	0
WBGene00019591	38.4072388236666	27.5856343896512	9.7593926366628	1.27610052119794
WBGene00015111	488.215093508531	539.783764813716	223.07183169515	239.906897985214
WBGene00015112	10.3404104525256	18.6389421551698	2.78839789618937	5.10440208479178
WBGene00015113	0.738600746608973	0	0	0
WBGene00015110	0	0	1.39419894809469	0
WBGene00023225	1.47720149321795	0	2.78839789618937	1.27610052119794
WBGene00015114	0	0.74555768620679	5.57679579237874	7.65660312718767
WBGene00015108	0	0	0	0
WBGene00022869	0	0	0	0
WBGene00022870	0.738600746608973	0	0	1.27610052119794
WBGene00022873	0	0	0	0
WBGene00022868	0.738600746608973	0.74555768620679	0	0
WBGene00022871	0	0	1.39419894809469	0
WBGene00022867	0.738600746608973	0	1.39419894809469	0
WBGene00206413	0	0	0	0
WBGene00022872	0	0	0	0
WBGene00022866	0	0	0	0
WBGene00018385	0	0	0	0
WBGene00018384	0	0	2.78839789618937	2.55220104239589
WBGene00018386	9.60180970591665	8.94669223448148	8.36519368856812	19.1415078179692
WBGene00198432	0	0	0	0
WBGene00197659	0	0	0	0
WBGene00018383	197.945000091205	234.105113468932	62.7389526642609	71.4616291870849
WBGene00018382	0	0.74555768620679	0	0
WBGene00018381	0	0	0	0
WBGene00018387	1.47720149321795	0.74555768620679	0	1.27610052119794
WBGene00018380	0	0	0	0
WBGene00196356	0	0	0	0
WBGene00018379	0	0	0	0
WBGene00018378	0	0	0	0
WBGene00018388	1.47720149321795	0	1.39419894809469	1.27610052119794
WBGene00018389	0	0	0	0
WBGene00017520	0	0	0	0
WBGene00017519	0	0	0	0
WBGene00017518	0	0	0	0
WBGene00017517	0	0	0	0
WBGene00017521	0	0	0	0
WBGene00017522	0	0.74555768620679	1.39419894809469	0
WBGene00017523	0	0.74555768620679	1.39419894809469	0
WBGene00017524	4.43160447965384	9.69224992068827	15.3361884290415	12.7610052119794
WBGene00017525	0.738600746608973	0	0	0
WBGene00017526	0.738600746608973	0	0	2.55220104239589
WBGene00017527	0	1.49111537241358	0	0
WBGene00017528	0	0	0	1.27610052119794
WBGene00017516	0	0	0	0
WBGene00017529	0	0	0	2.55220104239589
WBGene00023278	0	0	0	0
WBGene00018353	2.21580223982692	1.49111537241358	4.18259684428406	0
WBGene00044672	2.21580223982692	2.98223074482716	0	1.27610052119794
WBGene00018354	0	1.49111537241358	1.39419894809469	0
WBGene00044362	0.738600746608973	1.49111537241358	0	0
WBGene00018352	2.21580223982692	1.49111537241358	0	0
WBGene00219696	0.738600746608973	0.74555768620679	2.78839789618937	0
WBGene00018351	0.738600746608973	0.74555768620679	1.39419894809469	3.82830156359383
WBGene00018355	9.60180970591665	8.20113454827469	6.97099474047343	11.4849046907815
WBGene00201773	0	0	0	0
WBGene00197533	0	0	0	0
WBGene00023285	0	0	0	0
WBGene00006882	0.738600746608973	1.49111537241358	1.39419894809469	5.10440208479178
WBGene00003300	1.47720149321795	2.98223074482716	1.39419894809469	3.82830156359383
WBGene00004129	5.17020522626281	3.72778843103395	5.57679579237874	3.82830156359383
WBGene00006647	491.169496494967	455.535746272349	539.554992912643	570.416932975481
WBGene00200343	0	0	0	0
WBGene00018769	83.461884366814	79.0291147379198	112.93011479567	117.401247950211
WBGene00018768	11.8176119457436	14.9111537241358	0	0
WBGene00018767	93.0636940727306	84.9935762275741	1.39419894809469	2.55220104239589
WBGene00018770	0	0	0	0
WBGene00018766	3.69300373304487	2.98223074482716	1.39419894809469	2.55220104239589
WBGene00219707	3930.09457270635	4390.58921407179	3966.49600732938	3843.61476984821
WBGene00195037	0	0	0	0
WBGene00198201	0	0	0	0
WBGene00019130	84.200485113423	107.360306813778	47.4027642352193	44.6635182419281
WBGene00019131	807.290616043608	779.107782086096	1001.03484473198	951.970988813667
